species,PL_V_GP_10_I_1987,PL_V_GP_10_II_1987,PL_V_GP_5_1987,PL_V_GP_10_I_1988,PL_V_GP_10_II_1988,PL_V_GP_5_1988,PL_V_GP_10_I_1989,PL_V_GP_10_II_1989,PL_V_GP_5_1989,PL_V_GP_10_I_1990,PL_V_GP_10_II_1990,PL_V_GP_5_1990,PL_V_GP_10_I_1991,PL_V_GP_10_II_1991,PL_V_GP_5_1991,PL_V_GP_10_I_1992,PL_V_GP_10_II_1992,PL_V_GP_5_1992,PL_V_GP_10_I_1993,PL_V_GP_10_II_1993,PL_V_GP_5_1993,PL_V_GP_10_I_1994,PL_V_GP_10_II_1994,PL_V_GP_5_1994,PL_V_GP_10_I_1995,PL_V_GP_10_II_1995,PL_V_GP_5_1995,PL_V_GP_10_I_1996,PL_V_GP_10_II_1996,PL_V_GP_5_1996,PL_V_GP_10_I_1997,PL_V_GP_10_II_1997,PL_V_GP_5_1997,PL_V_GP_10_I_1998,PL_V_GP_10_II_1998,PL_V_GP_5_1998,PL_V_GP_10_I_1999,PL_V_GP_10_II_1999,PL_V_GP_5_1999,PL_V_GP_10_I_2000,PL_V_GP_10_II_2000,PL_V_GP_5_2000,PL_V_GP_10_I_2001,PL_V_GP_10_II_2001,PL_V_GP_5_2001,PL_V_GP_10_I_2002,PL_V_GP_10_II_2002,PL_V_GP_5_2002,PL_V_GP_10_I_2003,PL_V_GP_10_II_2003,PL_V_GP_5_2003,PL_V_GP_10_I_2004,PL_V_GP_10_II_2004,PL_V_GP_5_2004,PL_V_GP_10_I_2005,PL_V_GP_10_II_2005,PL_V_GP_5_2005,PL_V_GP_10_I_2006,PL_V_GP_10_II_2006,PL_V_GP_5_2006,PL_V_GP_10_I_2007,PL_V_GP_10_II_2007,PL_V_GP_5_2007,PL_V_GP_10_I_2008,PL_V_GP_10_II_2008,PL_V_GP_5_2008,PL_V_GP_10_I_2009,PL_V_GP_10_II_2009,PL_V_GP_5_2009,PL_V_GP_10_I_2010,PL_V_GP_10_II_2010,PL_V_GP_5_2010,PL_V_GP_10_I_2011,PL_V_GP_10_II_2011,PL_V_GP_5_2011,PL_V_GP_10_I_2012,PL_V_GP_10_II_2012,PL_V_GP_5_2012,PL_V_GP_10_I_2013,PL_V_GP_10_II_2013,PL_V_GP_5_2013,PL_V_GP_10_I_2014,PL_V_GP_10_II_2014,PL_V_GP_5_2014,PL_V_GP_10_I_2015,PL_V_GP_10_II_2015,PL_V_GP_5_2015,PL_V_GP_10_I_2016,PL_V_GP_10_II_2016,PL_V_GP_5_2016,PL_V_GP_10_I_2017,PL_V_GP_10_II_2017,PL_V_GP_5_2017,PL_V_GP_10_I_2018,PL_V_GP_10_II_2018,PL_V_GP_5_2018,PL_V_GP_10_I_2019,PL_V_GP_10_II_2019,PL_V_GP_5_2019
.Nardus stricta L.,41,38,11,160,109,43,557,692,117,377,255,101,653,553,77,567,403,119,56,32,6,410,91,104,222,94,30,596,469,126,2220,3746,350,769,1254,327,38,9,4,274,137,73,40,35,8,232,278,41,242,265,42,167,144,47,184,178,73,178,89,29,802,575,109,894,818,379,308,484,114,261,293,263,1838,1439,493,160,181,56,353,543,88,189,233,47,609,526,151,129,19,10,704,838,204,1,29,18,2072,1808,0
.Pedicularis comosa L.,1,0,4,0,0,0,1,1,2,1,1,0,0,0,0,1,0,0,0,3,1,0,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,3,0,1,0,0,1,1,1,2,0,1,1,2,1,1,1,0,2,3,1,2,0,2,3,0,0,0,0,0,2,1
.Plantago atrata Hoppe,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,2,0,0,4,0,0,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,4,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
.Poa longifolia Trin.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Poa pratensis L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Polygonum bistorta L.,2,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,4,0,0,2,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,1,0,0,5,0,0
.Potentilla crantzii (Crantz) G.Beck ex Fritsch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Ranunculus oreophilus Bieb.,5,11,9,3,13,5,4,38,25,0,27,3,0,6,1,2,12,10,10,37,6,8,38,10,9,19,9,0,0,0,0,0,0,0,0,0,1,6,4,5,13,4,0,13,2,4,15,4,6,13,3,10,39,5,11,27,3,6,20,5,11,12,1,0,0,9,14,44,13,17,38,15,2,37,11,14,40,11,10,39,11,6,38,7,2,27,6,2,3,1,7,25,3,0,11,3,3,0,10
.Rumex alpestris Jacq.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Scorzonera cana (C.A.Mey.) O.Hoffm.,43,17,7,40,10,5,56,29,55,34,23,19,38,11,9,44,21,6,96,41,19,51,40,13,83,50,27,79,13,23,85,39,31,110,24,21,3,0,2,65,20,16,52,0,4,95,38,40,66,18,9,89,29,29,99,25,24,70,34,20,102,29,12,116,64,47,67,26,14,122,50,32,34,20,11,30,16,13,38,23,12,43,34,22,39,22,10,5,2,1,37,24,4,6,3,3,29,21,8
