species,PL_N_GP_10_I_1987,PL_N_GP_10_II_1987,PL_N_GP_5_1987,PL_N_GP_10_I_1988,PL_N_GP_10_II_1988,PL_N_GP_5_1988,PL_N_GP_10_I_1989,PL_N_GP_10_II_1989,PL_N_GP_5_1989,PL_N_GP_10_I_1990,PL_N_GP_10_II_1990,PL_N_GP_5_1990,PL_N_GP_10_I_1991,PL_N_GP_10_II_1991,PL_N_GP_5_1991,PL_N_GP_10_I_1992,PL_N_GP_10_II_1992,PL_N_GP_5_1992,PL_N_GP_10_I_1993,PL_N_GP_10_II_1993,PL_N_GP_5_1993,PL_N_GP_10_I_1994,PL_N_GP_10_II_1994,PL_N_GP_5_1994,PL_N_GP_10_I_1995,PL_N_GP_10_II_1995,PL_N_GP_5_1995,PL_N_GP_10_I_1996,PL_N_GP_10_II_1996,PL_N_GP_5_1996,PL_N_GP_10_I_1997,PL_N_GP_10_II_1997,PL_N_GP_5_1997,PL_N_GP_10_I_1998,PL_N_GP_10_II_1998,PL_N_GP_5_1998,PL_N_GP_10_I_1999,PL_N_GP_10_II_1999,PL_N_GP_5_1999,PL_N_GP_10_I_2000,PL_N_GP_10_II_2000,PL_N_GP_5_2000,PL_N_GP_10_I_2001,PL_N_GP_10_II_2001,PL_N_GP_5_2001,PL_N_GP_10_I_2002,PL_N_GP_10_II_2002,PL_N_GP_5_2002,PL_N_GP_10_I_2003,PL_N_GP_10_II_2003,PL_N_GP_5_2003,PL_N_GP_10_I_2004,PL_N_GP_10_II_2004,PL_N_GP_5_2004,PL_N_GP_10_I_2005,PL_N_GP_10_II_2005,PL_N_GP_5_2005,PL_N_GP_10_I_2006,PL_N_GP_10_II_2006,PL_N_GP_5_2006,PL_N_GP_10_I_2007,PL_N_GP_10_II_2007,PL_N_GP_5_2007,PL_N_GP_10_I_2008,PL_N_GP_10_II_2008,PL_N_GP_5_2008,PL_N_GP_10_I_2009,PL_N_GP_10_II_2009,PL_N_GP_5_2009,PL_N_GP_10_I_2010,PL_N_GP_10_II_2010,PL_N_GP_5_2010,PL_N_GP_10_I_2011,PL_N_GP_10_II_2011,PL_N_GP_5_2011,PL_N_GP_10_I_2012,PL_N_GP_10_II_2012,PL_N_GP_5_2012,PL_N_GP_10_I_2013,PL_N_GP_10_II_2013,PL_N_GP_5_2013,PL_N_GP_10_I_2014,PL_N_GP_10_II_2014,PL_N_GP_5_2014,PL_N_GP_10_I_2015,PL_N_GP_10_II_2015,PL_N_GP_5_2015,PL_N_GP_10_I_2016,PL_N_GP_10_II_2016,PL_N_GP_5_2016,PL_N_GP_10_I_2017,PL_N_GP_10_II_2017,PL_N_GP_5_2017,PL_N_GP_10_I_2018,PL_N_GP_10_II_2018,PL_N_GP_5_2018,PL_N_GP_10_I_2019,PL_N_GP_10_II_2019,PL_N_GP_5_2019
.Bromopsis variegata (Bieb.) Holub,21,7,0,30,7,0,133,86,0,302,124,0,30,30,0,52,38,0,60,26,0,56,45,0,90,73,0,284,190,0,388,221,0,242,169,0,5,3,0,152,60,0,4,18,0,226,169,0,51,54,0,247,119,0,184,104,0,74,55,0,48,77,0,312,232,0,43,96,0,49,25,0,174,86,0,39,48,0,196,184,0,55,85,0,330,291,0,1,3,0,118,163,0,0,0,0,149,122,0
.Bupleurum falcatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,6,0,0,3,0,0,10,2,0,1,2,0,5,2,0
.Calamagrostis arundinacea (L.) Roth.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Campanula collina Bieb.,9,64,0,22,73,97,8,37,0,3,16,8,9,28,11,1,15,7,1,21,13,5,39,4,9,43,10,6,28,8,17,29,6,10,55,15,10,15,13,6,28,4,14,30,11,0,75,17,28,34,26,29,70,32,44,83,16,19,51,14,44,78,12,90,87,38,37,49,16,57,47,38,100,62,31,63,82,6,59,79,13,53,60,34,52,60,13,53,32,20,43,60,68,51,39,18,150,92,26
.Campanula tridentata Schreb.,0,0,4,0,0,6,0,1,2,0,0,0,0,0,1,0,1,4,0,0,4,0,0,4,0,0,4,0,0,3,0,3,2,0,0,7,0,0,5,0,0,5,0,0,5,49,0,7,0,0,8,0,0,8,0,0,2,0,0,12,0,0,8,0,0,6,0,0,6,0,0,5,0,0,7,0,0,5,0,0,4,0,0,6,0,0,6,0,0,0,0,0,1,0,0,2,0,0,0
.Carex atrata L.,0,0,5,0,0,3,0,0,0,0,0,1,0,0,4,0,0,9,0,0,3,0,0,5,0,0,3,0,0,6,0,0,3,0,0,7,0,0,3,0,0,10,0,0,0,0,0,13,26,0,1,0,0,5,0,0,6,0,9,1,0,0,4,0,0,1,0,0,1,0,0,6,0,0,8,0,0,5,0,0,1,0,0,1,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0
.Carex sempervirens Vill.,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Carex umbrosa Host,10,35,0,33,133,5,34,55,4,6,1,0,38,72,6,34,80,7,11,24,4,49,133,4,14,12,0,44,32,0,98,70,0,77,87,5,20,67,0,55,109,9,0,3,0,24,66,0,5,22,0,20,10,0,34,64,3,14,32,0,49,79,9,17,5,0,66,100,2,26,41,10,32,59,7,145,161,35,15,22,1,54,46,3,40,52,10,128,106,10,102,86,25,0,0,0,34,13,5
.Carum caucasicum (Bieb.) Boiss.,0,4,1,0,0,2,0,5,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Carum meifolium (Bieb.) Boiss.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
